time,wind_speed,wind_dir,wd_cat
2023-06-06 20:00:00,6,117,SE
2023-06-06 21:00:00,7,114,SE
2023-06-06 22:00:00,8,109,E
2023-06-06 23:00:00,6,96,E
2023-06-07 00:00:00,7,74,E
2023-06-07 01:00:00,9,68,E
2023-06-07 02:00:00,10,71,E
2023-06-07 03:00:00,9,66,NE
2023-06-07 04:00:00,8,59,NE
2023-06-07 05:00:00,10,53,NE
2023-06-07 06:00:00,10,46,NE
2023-06-07 07:00:00,10,47,NE
2023-06-07 08:00:00,11,42,NE
2023-06-07 09:00:00,11,34,NE
2023-06-07 10:00:00,8,52,NE
2023-06-07 11:00:00,7,39,NE
2023-06-07 12:00:00,7,38,NE
2023-06-07 13:00:00,8,46,NE
2023-06-07 14:00:00,7,27,NE
2023-06-07 15:00:00,7,357,N
2023-06-07 16:00:00,6,11,N
2023-06-07 17:00:00,7,24,NE
2023-06-07 18:00:00,6,23,NE
2023-06-07 19:00:00,6,26,NE
2023-06-07 20:00:00,6,30,NE
2023-06-07 21:00:00,5,38,NE
2023-06-07 22:00:00,9,27,NE
2023-06-07 23:00:00,10,19,N
2023-06-08 00:00:00,8,8,N
2023-06-08 01:00:00,6,355,N
2023-06-08 02:00:00,5,3,N
2023-06-08 03:00:00,4,39,NE
2023-06-08 04:00:00,6,36,NE
2023-06-08 05:00:00,9,39,NE
2023-06-08 06:00:00,7,22,N
2023-06-08 07:00:00,7,14,N
2023-06-08 08:00:00,8,7,N
2023-06-08 09:00:00,7,354,N
2023-06-08 10:00:00,6,289,W
2023-06-08 11:00:00,6,287,W
2023-06-08 12:00:00,6,284,W
2023-06-08 13:00:00,7,274,W
2023-06-08 14:00:00,7,258,W
2023-06-08 15:00:00,7,242,SW
2023-06-08 16:00:00,8,233,SW
2023-06-08 17:00:00,9,228,SW
2023-06-08 18:00:00,10,219,SW
2023-06-08 19:00:00,10,213,SW
2023-06-08 20:00:00,11,211,SW
2023-06-08 21:00:00,10,208,SW
2023-06-08 22:00:00,9,190,S
2023-06-08 23:00:00,9,188,S
2023-06-09 00:00:00,9,184,S
